index,station_complex_id,station_complex
340,365,Castle Hill Av (6)
341,345,"Crown Hts-Utica Av (3,4)"
342,33,45 St (R)
343,111,Seneca Av (M)
344,453,82 St-Jackson Hts (7)
345,367,St Lawrence Av (6)
346,75,20 Av (N)
347,306,125 St (1)
348,150,155 St (C)
349,287,Flushing Av (G)
350,22,"Rector St (R,W)"
351,268,"65 St (M,R)"
352,321,18 St (1)
353,608,"4 Av (F,G)/9 St (R)"
354,386,Mt Eden Av (4)
355,50,Avenue M (Q)
356,299,Dyckman St (1)
357,337,"Nevins St (2,3,4,5)"
358,339,"Bergen St (2,3)"
359,183,Rockaway Av (C)
360,443,Baychester Av (5)
361,257,Sutphin Blvd (F)
362,99,"Lorimer St (M,J)"
363,432,"Prospect Av (2,5)"
364,185,Liberty Av (C)
365,133,Atlantic Av (L)
366,448,Mets-Willets Point (7)
367,324,Houston St (1)
368,502,Tompkinsville (SIR)
369,215,"Tremont Av (B,D)"
370,173,"High St (A,C)"
371,344,Kingston Av (3)
372,464,Vernon Blvd-Jackson Av (7)
373,109,Fresh Pond Rd (M)
374,440,"116 St (2,3)"
375,352,New Lots Av (3)
376,452,90 St-Elmhurst Av (7)
377,615,New Utrecht Av (N)/62 St (D)
378,66,18 Av (D)
379,427,"West Farms Sq-E Tremont Av (2,5)"
380,350,Pennsylvania Av (3)
381,381,Kingsbridge Rd (4)
382,187,Shepherd Av (C)
383,158,"86 St (C,B)"
384,223,"Lexington Av/63 St (F,Q)"
385,383,183 St (4)
386,199,"Broad Channel (A,S)"
387,211,"Bedford Park Blvd (B,D)"
388,253,Neptune Av (F)
389,346,Sutter Av-Rutland Rd (3)
390,94,Halsey St (J)
391,601,"14 St (F,M,1,2,3)/6 Av (L)"
392,256,Parsons Blvd (F)
393,30,Prospect Av (R)
394,276,"5 Av/53 St (E,M)"
395,357,"Beverly Rd (2,5)"
396,78,Avenue U (N)
397,286,Broadway (G)
398,179,"Nostrand Av (A,C)"
399,103,"Bowery (J,Z)"
